,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-02,41107.716026297814,41604.07703210382,40927.22111509563,41288.2109375,9480688,0.0,0.0
2019-04-03,42190.67975875134,42190.67975875134,41333.32904707618,42055.30859375,12436570,0.0,0.0
2019-04-04,41649.19621522231,42506.54694988019,41649.19621522231,42371.17578125,12650168,0.0,0.0
2019-04-05,42371.177136139275,42912.661827974924,42055.31106590181,42280.9296875,8546339,0.0,0.0
2019-04-08,42641.910357214634,42641.910357214634,41649.18863461281,42100.42578125,8507909,0.0,0.0
2019-04-09,42145.54949591372,42371.16806923232,41694.31234927653,42100.42578125,6878761,0.0,0.0
2019-04-10,41874.81624732334,42145.55859375,41558.95017649223,42145.55859375,11883995,0.0,0.0
2019-04-11,42145.55489020271,42235.80233108108,41649.193965371625,41739.44140625,13697399,0.0,0.0
2019-04-12,41558.95009838581,42326.05341181964,41513.82637406617,42280.9296875,7668936,0.0,0.0
2019-04-15,42551.66931787991,42867.535367959616,42416.29815356004,42461.421875,8733019,0.0,0.0
2019-04-16,42777.29697420635,42777.29697420635,42235.812202380956,42641.92578125,7730881,0.0,0.0
2019-04-17,42687.04048219979,42957.78281083953,42416.29815356004,42461.421875,5513658,0.0,0.0
2019-04-18,42596.79913651316,42641.92286441201,41062.5923879523,41152.83984375,12808747,0.0,0.0
2019-04-19,41288.20331901904,41513.82191639073,40836.96612427566,40882.08984375,8479710,0.0,0.0
2019-04-22,40972.34247519294,41423.57972712238,40701.60012403528,40927.21875,6006957,0.0,0.0
2019-04-23,40656.476480399615,41062.59000795078,40611.35275511615,40791.84765625,6920566,0.0,0.0
2019-04-24,40972.34280726257,41197.96143505586,39844.249668296085,40385.734375,13299267,0.0,0.0
2019-04-25,39934.49459336507,40611.35043393057,39799.123425251964,40295.484375,10868965,0.0,0.0
2019-04-26,39889.375905797104,40611.35556020067,39528.38607859532,40475.984375,9739982,0.0,0.0
2019-04-29,40746.72087452601,41649.1953125,40701.597152627306,41649.1953125,8777517,0.0,0.0
2019-04-30,41513.82821019629,41784.57056808888,40927.21976809569,41378.45703125,11121273,0.0,0.0
2019-05-02,41062.592209626906,41649.20066976444,40972.344754221136,41423.58203125,8625126,0.0,0.0
